x;y;z
-9.980685936872617e-19;-2.437589267497317e-35;0.0
-9.940401453605771e-19;-2.437818317650123e-35;0.0
-5.824754016136235e-15;3.907541170772684e-33;0.0
-9.61805118311331e-15;6.652822355317779e-33;0.0
-5.182777145616219e-15;3.725827706716275e-33;0.0
-1.896545589063438e-15;1.805546947434437e-33;0.0
-6.941829669853169e-16;1.0905707420901902e-33;0.0
-2.541553408361203e-16;8.319383912679245e-34;0.0
-9.30936323681749e-17;7.435620026863128e-34;0.0
-3.413483514002109e-17;7.125827009138506e-34;0.0
-1.25487866975482e-17;6.9948926483589116e-34;0.0
-4.662935940413597e-18;6.944759422297671e-34;0.0
-1.7806943779315084e-18;6.9277109631759714e-34;0.0
-7.29790620141437e-19;6.9208163422778605e-34;0.0
-3.445881680858218e-19;6.91839254522592e-34;0.0
-2.0172730487642756e-19;6.917532359790325e-34;0.0
-1.6302539516695778e-19;6.917319373968024e-34;0.0
-1.4549909195524045e-19;6.917231500422665e-34;0.0
-1.5753541948521907e-19;6.917274230228994e-34;0.0
-1.346091036633948e-19;6.917198401621709e-34;0.0
-1.3220657508157357e-19;6.917187441248374e-34;0.0
-1.2675439651873136e-19;6.917167910674154e-34;0.0
-1.1194740641879156e-19;6.917118707066825e-34;0.0
-1.3116902532817083e-19;6.917171579919711e-34;0.0
-1.4735170682287336e-19;6.917214967031334e-34;0.0
-2.0908002460831935e-19;6.917406303098753e-34;0.0
-2.72112940535063e-19;6.9176267335784035e-34;0.0
-3.4548933161988824e-19;6.917906714469211e-34;0.0
-4.061169278661248e-19;6.918158935828567e-34;0.0
-4.8337817170150145e-19;6.918553082717374e-34;0.0
-5.50465413448331e-19;6.918989114711206e-34;0.0
-6.311255136229551e-19;6.919541420620474e-34;0.0
-7.071124991208208e-19;6.920129193269757e-34;0.0
-7.730450501308037e-19;6.920673463632747e-34;0.0
-8.626794497406448e-19;6.921403819002e-34;0.0
-9.49981934036222e-19;6.922207140390766e-34;0.0
-1.0240768677697592e-18;6.923033230529019e-34;0.0
-1.09837222622694e-18;6.923968170217118e-34;0.0
-1.1720283532244267e-18;6.924955996521816e-34;0.0
-1.23191029546057e-18;6.925804701359746e-34;0.0
-1.298564174337887e-18;6.9268022315257495e-34;0.0
-1.3800414696085438e-18;6.928103575370004e-34;0.0
-1.447012776169525e-18;6.929245304382608e-34;0.0
-1.5150190673789557e-18;6.930466288442727e-34;0.0
-1.5746802649959063e-18;6.931555566089732e-34;0.0
-1.6289382829956137e-18;6.932549796359917e-34;0.0
-1.6908685548924396e-18;6.933714786241677e-34;0.0
-1.762112407434898e-18;6.935097396683943e-34;0.0
-1.847611262863029e-18;6.9368381033829036e-34;0.0
-1.920688749381127e-18;6.938389398794774e-34;0.0
-1.9807956751475664e-18;6.939737487081838e-34;0.0
-2.0390487835431624e-18;6.9411006764504805e-34;0.0
-2.111798439747936e-18;6.942925094520985e-34;0.0
-2.18298495305078e-18;6.944799821910312e-34;0.0
-2.2512571433492695e-18;6.9466437754709955e-34;0.0
-2.3258422876333296e-18;6.948703671613974e-34;0.0
-2.4078835057019826e-18;6.951050301514977e-34;0.0
-2.4681352178176383e-18;6.95279507779074e-34;0.0
